Id	Description
1.-.-.-	Oxidoreductases.
1.1.-.-	Acting on the CH-OH group of donors.
1.1.1.-	With NAD(+) or NADP(+) as acceptor.
1.1.1.1	Alcohol dehydrogenase
1.1.1.10	L-xylulose reductase
1.1.1.100	3-oxoacyl-[acyl-carrier-protein] reductase
1.1.1.102	3-dehydrosphinganine reductase
1.1.1.122	D-threo-aldose 1-dehydrogenase
1.1.1.133	dTDP-4-dehydrorhamnose reductase
1.1.1.140	Sorbitol-6-phosphate 2-dehydrogenase
1.1.1.153	Sepiapterin reductase (L-erythro-7,8-dihydrobiopterin forming)
1.1.1.157	3-hydroxybutyryl-CoA dehydrogenase
1.1.1.159	7-alpha-hydroxysteroid dehydrogenase
1.1.1.169	2-dehydropantoate 2-reductase
1.1.1.18	Inositol 2-dehydrogenase
1.1.1.193	5-amino-6-(5-phosphoribosylamino)uracil reductase
1.1.1.205	IMP dehydrogenase
1.1.1.219	Dihydroflavanol 4-reductase
1.1.1.22	UDP-glucose 6-dehydrogenase
1.1.1.23	Histidinol dehydrogenase
1.1.1.25	Shikimate dehydrogenase
1.1.1.262	4-hydroxythreonine-4-phosphate dehydrogenase
1.1.1.267	1-deoxy-D-xylulose-5-phosphate reductoisomerase
1.1.1.271	GDP-L-fucose synthase
1.1.1.274	2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming)
1.1.1.275	(+)-trans-carveol dehydrogenase
1.1.1.28	D-lactate dehydrogenase
1.1.1.284	S-(hydroxymethyl)glutathione dehydrogenase
1.1.1.3	Homoserine dehydrogenase
1.1.1.30	3-hydroxybutyrate dehydrogenase
1.1.1.31	3-hydroxyisobutyrate dehydrogenase
1.1.1.320	Benzil reductase ((S)-benzoin forming)
1.1.1.330	Very-long-chain 3-oxoacyl-CoA reductase
1.1.1.34	Hydroxymethylglutaryl-CoA reductase (NADPH)
1.1.1.35	3-hydroxyacyl-CoA dehydrogenase
1.1.1.37	Malate dehydrogenase
1.1.1.40	Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))
1.1.1.42	Isocitrate dehydrogenase (NADP(+))
1.1.1.44	Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)
1.1.1.49	Glucose-6-phosphate dehydrogenase (NADP(+))
1.1.1.53	3-alpha(or 20-beta)-hydroxysteroid dehydrogenase
1.1.1.58	Tagaturonate reductase
1.1.1.62	17-beta-estradiol 17-dehydrogenase
1.1.1.69	Gluconate 5-dehydrogenase
1.1.1.81	Hydroxypyruvate reductase
1.1.1.85	3-isopropylmalate dehydrogenase
1.1.1.86	Ketol-acid reductoisomerase (NADP(+))
1.1.1.94	Glycerol-3-phosphate dehydrogenase (NAD(P)(+))
1.1.1.95	Phosphoglycerate dehydrogenase
1.1.2.-	With a cytochrome as acceptor.
