Id	Name	Description
PF00001	7tm_1	7 transmembrane receptor (rhodopsin family)
PF00002	7tm_2	7 transmembrane receptor (Secretin family)
PF00003	7tm_3	7 transmembrane sweet-taste receptor of 3 GCPR
PF00004	AAA	ATPase family associated with various cellular activities (AAA)
PF00005	ABC_tran	ABC transporter
PF00006	ATP-synt_ab	ATP synthase alpha/beta family, nucleotide-binding domain
PF00008	EGF	EGF-like domain
PF00009	GTP_EFTU	Elongation factor Tu GTP binding domain
PF00010	HLH	Helix-loop-helix DNA-binding domain
PF00011	HSP20	Hsp20/alpha crystallin family
PF00012	HSP70	Hsp70 protein
PF00013	KH_1	KH domain
PF00014	Kunitz_BPTI	Kunitz/Bovine pancreatic trypsin inhibitor domain
PF00015	MCPsignal	Methyl-accepting chemotaxis protein (MCP) signalling domain
PF00016	RuBisCO_large	Ribulose bisphosphate carboxylase large chain, catalytic domain
PF00017	SH2	SH2 domain
PF00018	SH3_1	SH3 domain
PF00019	TGF_beta	Transforming growth factor beta like domain
PF00020	TNFR_c6	TNFR/NGFR cysteine-rich region
PF00021	UPAR_LY6	u-PAR/Ly-6 domain
PF00022	Actin	Actin
PF00023	Ank	Ankyrin repeat
PF00024	PAN_1	PAN domain
PF00025	Arf	ADP-ribosylation factor family
PF00026	Asp	Eukaryotic aspartyl protease
PF00027	cNMP_binding	Cyclic nucleotide-binding domain
PF00028	Cadherin	Cadherin domain
PF00030	Crystall	Beta/Gamma crystallin
PF00031	Cystatin	Cystatin domain
PF00032	Cytochrom_B_C	Cytochrome b(C-terminal)/b6/petD
PF00033	Cytochrome_B	Cytochrome b/b6/petB
PF00034	Cytochrom_C	Cytochrome c
PF00035	dsrm	Double-stranded RNA binding motif
PF00036	EF-hand_1	EF hand
PF00037	Fer4	4Fe-4S binding domain
PF00038	Filament	Intermediate filament protein
PF00040	fn2	Fibronectin type II domain
PF00041	fn3	Fibronectin type III domain
PF00042	Globin	Globin
PF00043	GST_C	Glutathione S-transferase, C-terminal domain
PF00044	Gp_dh_N	Glyceraldehyde 3-phosphate dehydrogenase, NAD binding domain
PF00045	Hemopexin	Hemopexin
PF00046	Homeobox	Homeobox domain
PF00047	ig	Immunoglobulin domain
PF00050	Kazal_1	Kazal-type serine protease inhibitor domain
PF00051	Kringle	Kringle domain
PF00052	Laminin_B	Laminin B (Domain IV)
PF00053	Laminin_EGF	Laminin EGF domain
PF00054	Laminin_G_1	Laminin G domain
PF00055	Laminin_N	Laminin N-terminal (Domain VI)
PF00056	Ldh_1_N	lactate/malate dehydrogenase, NAD binding domain
PF00057	Ldl_recept_a	Low-density lipoprotein receptor domain class A
PF00058	Ldl_recept_b	Low-density lipoprotein receptor repeat class B
PF00059	Lectin_C	Lectin C-type domain
PF00060	Lig_chan	Ligand-gated ion channel
PF00061	Lipocalin	Lipocalin / cytosolic fatty-acid binding protein family
PF00062	Lys	C-type lysozyme/alpha-lactalbumin family
PF00063	Myosin_head	Myosin head (motor domain)
PF00066	Notch	LNR domain
PF00067	p450	Cytochrome P450
PF00068	Phospholip_A2_1	Phospholipase A2
PF00069	Pkinase	Protein kinase domain
PF00070	Pyr_redox	Pyridine nucleotide-disulphide oxidoreductase
PF00071	Ras	Ras family
PF00072	Response_reg	Response regulator receiver domain
PF00075	RNase_H	RNase H
PF00076	RRM_1	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
PF00077	RVP	Retroviral aspartyl protease
PF00078	RVT_1	Reverse transcriptase (RNA-dependent DNA polymerase)
PF00079	Serpin	Serpin (serine protease inhibitor)
PF00080	Sod_Cu	Copper/zinc superoxide dismutase (SODC)
PF00081	Sod_Fe_N	Iron/manganese superoxide dismutases, alpha-hairpin domain
PF00082	Peptidase_S8	Subtilase family
PF00083	Sugar_tr	Sugar (and other) transporter
PF00084	Sushi	Sushi repeat (SCR repeat)
PF00085	Thioredoxin	Thioredoxin
PF00086	Thyroglobulin_1	Thyroglobulin type-1 repeat
PF00088	Trefoil	Trefoil (P-type) domain
PF00089	Trypsin	Trypsin
PF00090	TSP_1	Thrombospondin type 1 domain
PF00091	Tubulin	Tubulin/FtsZ family, GTPase domain
PF00092	VWA	von Willebrand factor type A domain
PF00093	VWC	von Willebrand factor type C domain
PF00094	VWD	von Willebrand factor type D domain
PF00095	WAP	WAP-type (Whey Acidic Protein) 'four-disulfide core'
PF00096	zf-C2H2	Zinc finger, C2H2 type
PF00097	zf-C3HC4	Zinc finger, C3HC4 type (RING finger)
PF00098	zf-CCHC	Zinc knuckle
PF00100	Zona_pellucida	Zona pellucida-like domain
PF00101	RuBisCO_small	Ribulose bisphosphate carboxylase, small chain
PF00102	Y_phosphatase	Protein-tyrosine phosphatase
PF00104	Hormone_recep	Ligand-binding domain of nuclear hormone receptor
PF00105	zf-C4	Zinc finger, C4 type (two domains)
PF00106	adh_short	short chain dehydrogenase
PF00107	ADH_zinc_N	Zinc-binding dehydrogenase
PF00108	Thiolase_N	Thiolase, N-terminal domain
PF00109	ketoacyl-synt	Beta-ketoacyl synthase, N-terminal domain
PF00110	wnt	wnt family
PF00111	Fer2	2Fe-2S iron-sulfur cluster binding domain
PF00112	Peptidase_C1	Papain family cysteine protease
PF00113	Enolase_C	Enolase, C-terminal TIM barrel domain
PF00114	Pilin	Pilin (bacterial filament)
PF00115	COX1	Cytochrome C and Quinol oxidase polypeptide I
PF00116	COX2	Cytochrome C oxidase subunit II, periplasmic domain
PF00117	GATase	Glutamine amidotransferase class-I
PF00118	Cpn60_TCP1	TCP-1/cpn60 chaperonin family
PF00119	ATP-synt_A	ATP synthase A chain
PF00120	Gln-synt_C	Glutamine synthetase, catalytic domain
PF00121	TIM	Triosephosphate isomerase
PF00122	E1-E2_ATPase	E1-E2 ATPase
PF00124	Photo_RC	Photosynthetic reaction centre protein
PF00125	Histone	Core histone H2A/H2B/H3/H4
PF00126	HTH_1	Bacterial regulatory helix-turn-helix protein, lysR family
PF00127	Copper-bind	Copper binding proteins, plastocyanin/azurin family
PF00128	Alpha-amylase	Alpha amylase, catalytic domain
PF00130	C1_1	Phorbol esters/diacylglycerol binding domain (C1 domain)
PF00132	Hexapep	Bacterial transferase hexapeptide (six repeats)
PF00133	tRNA-synt_1	tRNA synthetases class I (I, L, M and V)
PF00134	Cyclin_N	Cyclin, N-terminal domain
PF00135	COesterase	Carboxylesterase family
PF00136	DNA_pol_B	DNA polymerase family B
PF00137	ATP-synt_C	ATP synthase subunit C
PF00139	Lectin_legB	Legume lectin domain
PF00140	Sigma70_r1_2	Sigma-70 factor, region 1.2
PF00141	peroxidase	Peroxidase
PF00142	Fer4_NifH	4Fe-4S iron sulfur cluster binding proteins, NifH/frxC family
PF00144	Beta-lactamase	Beta-lactamase
PF00145	DNA_methylase	C-5 cytosine-specific DNA methylase
PF00146	NADHdh	NADH dehydrogenase
PF00147	Fibrinogen_C	Fibrinogen beta and gamma chains, C-terminal globular domain
PF00148	Oxidored_nitro	Nitrogenase component 1 type Oxidoreductase
PF00149	Metallophos	Calcineurin-like phosphoesterase
PF00150	Cellulase	Cellulase (glycosyl hydrolase family 5)
PF00151	Lipase	Lipase
PF00152	tRNA-synt_2	tRNA synthetases class II (D, K and N) 
PF00153	Mito_carr	Mitochondrial carrier protein
PF00154	RecA	recA bacterial DNA recombination protein
PF00155	Aminotran_1_2	Aminotransferase class I and II
PF00156	Pribosyltran	Phosphoribosyl transferase domain
PF00157	Pou	Pou domain - N-terminal to homeobox domain
PF00158	Sigma54_activat	Sigma-54 interaction domain
PF00160	Pro_isomerase	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF00162	PGK	Phosphoglycerate kinase
PF00163	Ribosomal_S4	Ribosomal protein S4/S9 N-terminal domain
PF00164	Ribosom_S12_S23	Ribosomal protein S12/S23
PF00165	HTH_AraC	Bacterial regulatory helix-turn-helix proteins, AraC family
PF00166	Cpn10	Chaperonin 10 Kd subunit
PF00168	C2	C2 domain
PF00169	PH	PH domain
PF00170	bZIP_1	bZIP transcription factor
PF00171	Aldedh	Aldehyde dehydrogenase family
PF00172	Zn_clus	Fungal Zn(2)-Cys(6) binuclear cluster domain
PF00173	Cyt-b5	Cytochrome b5-like Heme/Steroid binding domain
PF00174	Oxidored_molyb	Oxidoreductase molybdopterin binding domain
PF00175	NAD_binding_1	Oxidoreductase NAD-binding domain 
PF00176	SNF2_N	SNF2 family N-terminal domain
PF00177	Ribosomal_S7	Ribosomal protein S7p/S5e
PF00178	Ets	Ets-domain
PF00179	UQ_con	Ubiquitin-conjugating enzyme
PF00180	Iso_dh	Isocitrate/isopropylmalate dehydrogenase
PF00181	Ribosomal_L2	Ribosomal Proteins L2, RNA binding domain
PF00182	Glyco_hydro_19	Chitinase class I
PF00183	HSP90	Hsp90 protein
PF00185	OTCace	Aspartate/ornithine carbamoyltransferase, Asp/Orn binding domain
PF00186	DHFR_1	Dihydrofolate reductase
PF00187	Chitin_bind_1	Chitin recognition protein
PF00188	CAP	Cysteine-rich secretory protein family
PF00189	Ribosomal_S3_C	Ribosomal protein S3, C-terminal domain
PF00190	Cupin_1	Cupin
PF00191	Annexin	Annexin
PF00193	Xlink	Extracellular link domain
PF00194	Carb_anhydrase	Eukaryotic-type carbonic anhydrase
PF00195	Chal_sti_synt_N	Chalcone and stilbene synthases, N-terminal domain
PF00196	GerE	Bacterial regulatory proteins, luxR family
PF00198	2-oxoacid_dh	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
PF00199	Catalase	Catalase
PF00200	Disintegrin	Disintegrin
PF00201	UDPGT	UDP-glucoronosyl and UDP-glucosyl transferase
PF00202	Aminotran_3	Aminotransferase class-III
PF00203	Ribosomal_S19	Ribosomal protein S19
PF00204	DNA_gyraseB	DNA gyrase B
PF00205	TPP_enzyme_M	Thiamine pyrophosphate enzyme, central domain
PF00206	Lyase_1	Lyase
PF00207	A2M	Alpha-2-macroglobulin family
PF00208	ELFV_dehydrog	Glutamate/Leucine/Phenylalanine/Valine dehydrogenase
PF00209	SNF	Sodium:neurotransmitter symporter family
PF00210	Ferritin	Ferritin-like domain
PF00211	Guanylate_cyc	Adenylate and Guanylate cyclase catalytic domain
PF00213	OSCP	ATP synthase delta (OSCP) subunit
PF00215	OMPdecase	Orotidine 5'-phosphate decarboxylase / HUMPS family
PF00216	Bac_DNA_binding	Bacterial DNA-binding protein
PF00217	ATP-gua_Ptrans	ATP:guanido phosphotransferase, C-terminal catalytic domain
PF00218	IGPS	Indole-3-glycerol phosphate synthase
PF00221	Lyase_aromatic	Aromatic amino acid lyase
PF00223	PsaA_PsaB	Photosystem I psaA/psaB protein
PF00224	PK	Pyruvate kinase, barrel domain
PF00225	Kinesin	Kinesin motor domain
PF00226	DnaJ	DnaJ domain
PF00227	Proteasome	Proteasome subunit
PF00229	TNF	TNF(Tumour Necrosis Factor) family 
PF00230	MIP	Major intrinsic protein
PF00231	ATP-synt	ATP synthase
PF00232	Glyco_hydro_1	Glycosyl hydrolase family 1
PF00233	PDEase_I	3'5'-cyclic nucleotide phosphodiesterase
PF00235	Profilin	Profilin
PF00237	Ribosomal_L22	Ribosomal protein L22p/L17e
PF00238	Ribosomal_L14	Ribosomal protein L14p/L23e
PF00239	Resolvase	Resolvase, N terminal domain
PF00240	ubiquitin	Ubiquitin family
PF00241	Cofilin_ADF	Cofilin/tropomyosin-type actin-binding protein
PF00244	14-3-3	14-3-3 protein
PF00245	Alk_phosphatase	Alkaline phosphatase
PF00246	Peptidase_M14	Zinc carboxypeptidase
PF00248	Aldo_ket_red	Aldo/keto reductase family
PF00249	Myb_DNA-binding	Myb-like DNA-binding domain
PF00250	Forkhead	Forkhead domain
PF00251	Glyco_hydro_32N	Glycosyl hydrolases family 32 N-terminal domain
PF00252	Ribosomal_L16	Ribosomal protein L16p/L10e
PF00253	Ribosomal_S14	Ribosomal protein S14p/S29e
PF00254	FKBP_C	FKBP-type peptidyl-prolyl cis-trans isomerase
PF00255	GSHPx	Glutathione peroxidase
PF00257	Dehydrin	Dehydrin
PF00258	Flavodoxin_1	Flavodoxin
PF00261	Tropomyosin	Tropomyosin
PF00262	Calreticulin	Calreticulin family
PF00263	Secretin	Bacterial type II and III secretion system protein
PF00264	Tyrosinase	Common central domain of tyrosinase
PF00265	TK	Thymidine kinase
PF00266	Aminotran_5	Aminotransferase class-V
PF00267	Porin_1	Gram-negative porin
PF00268	Ribonuc_red_sm	Ribonucleotide reductase, small chain
PF00270	DEAD	DEAD/DEAH box helicase
PF00271	Helicase_C	Helicase conserved C-terminal domain
PF00274	Glycolytic	Fructose-bisphosphate aldolase class-I
PF00275	EPSP_synthase	EPSP synthase (3-phosphoshikimate 1-carboxyvinyltransferase)
PF00276	Ribosomal_L23	Ribosomal protein L23
PF00278	Orn_DAP_Arg_deC	Pyridoxal-dependent decarboxylase, C-terminal sheet domain
PF00280	potato_inhibit	Potato inhibitor I family
PF00281	Ribosomal_L5	Ribosomal protein L5
PF00282	Pyridoxal_deC	Pyridoxal-dependent decarboxylase conserved domain
PF00283	Cytochrom_B559	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits
PF00284	Cytochrom_B559a	Lumenal portion of Cytochrome b559, alpha (gene psbE) subunit
PF00285	Citrate_synt	Citrate synthase, C-terminal domain
PF00287	Na_K-ATPase	Sodium / potassium ATPase beta chain
PF00288	GHMP_kinases_N	GHMP kinases N terminal domain
PF00289	Biotin_carb_N	Biotin carboxylase, N-terminal domain
PF00290	Trp_syntA	Tryptophan synthase alpha chain
PF00291	PALP	Pyridoxal-phosphate dependent enzyme
PF00292	PAX	'Paired box' domain
PF00293	NUDIX	NUDIX domain
PF00294	PfkB	pfkB family carbohydrate kinase
PF00295	Glyco_hydro_28	Glycosyl hydrolases family 28
PF00296	Bac_luciferase	Luciferase-like monooxygenase
PF00297	Ribosomal_L3	Ribosomal protein L3
PF00298	Ribosomal_L11	Ribosomal protein L11, RNA binding domain
PF00300	His_Phos_1	Histidine phosphatase superfamily (branch 1)
PF00301	Rubredoxin	Rubredoxin
PF00302	CAT	Chloramphenicol acetyltransferase
PF00303	Thymidylat_synt	Thymidylate synthase
PF00305	Lipoxygenase	Lipoxygenase
PF00306	ATP-synt_ab_C	ATP synthase alpha/beta chain, C terminal domain
PF00307	CH	Calponin homology (CH) domain
PF00308	Bac_DnaA	Bacterial dnaA  protein
PF00309	Sigma54_AID	Sigma-54 factor, Activator interacting domain (AID) 
PF00310	GATase_2	Glutamine amidotransferases class-II
PF00311	PEPcase	Phosphoenolpyruvate carboxylase
PF00312	Ribosomal_S15	Ribosomal protein S15
PF00313	CSD	'Cold-shock' DNA-binding domain
PF00314	Thaumatin	Thaumatin family
PF00316	FBPase	Fructose-1-6-bisphosphatase, N-terminal domain
PF00317	Ribonuc_red_lgN	Ribonucleotide reductase, all-alpha domain
PF00318	Ribosomal_S2	Ribosomal protein S2
PF00319	SRF-TF	SRF-type transcription factor (DNA-binding and dimerisation domain)
PF00320	GATA	GATA zinc finger
PF00324	AA_permease	Amino acid permease
PF00325	Crp	Bacterial regulatory proteins, crp family
PF00326	Peptidase_S9	Prolyl oligopeptidase family
PF00327	Ribosomal_L30	Ribosomal protein L30p/L7e
PF00328	His_Phos_2	Histidine phosphatase superfamily (branch 2)
PF00329	Complex1_30kDa	Respiratory-chain NADH dehydrogenase, 30 Kd subunit
PF00330	Aconitase	Aconitase family (aconitate hydratase)
PF00331	Glyco_hydro_10	Glycosyl hydrolase family 10
PF00332	Glyco_hydro_17	Glycosyl hydrolases family 17
PF00333	Ribosomal_S5	Ribosomal protein S5, N-terminal domain
PF00334	NDK	Nucleoside diphosphate kinase
PF00335	Tetraspannin	Tetraspanin family
PF00337	Gal-bind_lectin	Galactoside-binding lectin
PF00338	Ribosomal_S10	Ribosomal protein S10p/S20e
PF00339	Arrestin_N	Arrestin (or S-antigen), N-terminal domain
PF00340	IL1	Interleukin-1 / 18
PF00341	PDGF	PDGF/VEGF domain
PF00342	PGI	Phosphoglucose isomerase
PF00343	Phosphorylase	Carbohydrate phosphorylase
PF00344	SecY	SecY translocase
PF00345	PapD_N	Pili and flagellar-assembly chaperone, PapD N-terminal domain
PF00346	Complex1_49kDa	Respiratory-chain NADH dehydrogenase, 49 Kd subunit
PF00347	Ribosomal_L6	Ribosomal protein L6
PF00348	polyprenyl_synt	Polyprenyl synthetase
PF00349	Hexokinase_1	Hexokinase
PF00350	Dynamin_N	Dynamin family
PF00351	Biopterin_H	Biopterin-dependent aromatic amino acid hydroxylase
PF00352	TBP	Transcription factor TFIID (or TATA-binding protein, TBP)
PF00353	HemolysinCabind	Haemolysin-type calcium-binding repeat (2 copies)
PF00354	Pentaxin	Pentaxin family
PF00355	Rieske	Rieske [2Fe-2S] domain
PF00356	LacI	Bacterial regulatory proteins, lacI family
PF00358	PTS_EIIA_1	phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 1
PF00359	PTS_EIIA_2	Phosphoenolpyruvate-dependent sugar phosphotransferase system, EIIA 2
PF00360	PHY	Phytochrome region
PF00361	Proton_antipo_M	Proton-conducting membrane transporter
PF00362	Integrin_beta	Integrin beta chain VWA domain
PF00364	Biotin_lipoyl	Biotin-requiring enzyme
PF00365	PFK	Phosphofructokinase
PF00366	Ribosomal_S17	Ribosomal protein S17
