k99_10001671_1	COG0356	4.9e-66	224.7
k99_10001671_2	ENOG410ZXQ9	1.6e-16	61.8
k99_10001671_3	COG0711	5e-28	100.4
k99_10001684_1	ENOG410XS4D	1.6e-107	362.6
k99_100016_2	COG1529	4.1e-82	277.7
k99_10001732_1	COG0428	2.6e-53	182.2
k99_10001743_1	COG0365	3.5e-83	281.3
k99_10001765_1	ENOG410ZEP7	2e-07	32.4
k99_10001765_2	COG1212	5.4e-106	357.2
k99_10001790_1	ENOG410XPQ5	3.3e-51	176.5
k99_10001807_1	COG1071	1.3e-78	266.5
k99_10001807_2	ENOG4111K6R	1.2e-15	59.4
k99_10001813_1	ENOG4111P3Z	1.2e-43	151.2
k99_10001813_10	ENOG410ZI3G	5.3e-29	103.3
k99_10001813_11	ENOG410ZW3Q	2.4e-57	196.5
k99_10001813_12	COG0498	2.3e-68	233.3
k99_10001813_13	COG3907	5.6e-122	410.4
k99_10001813_14	COG1597	4.8e-43	148.8
k99_10001813_15	COG0367	2.3e-85	288.8
k99_10001813_16	ENOG410ZWUW	4.5e-08	34.1
k99_10001813_17	ENOG410ZWUW	6.4e-32	112.5
k99_10001813_2	COG0381	1.7e-79	269.8
k99_10001813_3	COG2089	8.7e-138	463.0
k99_10001813_4	COG0110	2.3e-21	77.1
k99_10001813_5	ENOG410ZVJI	9e-18	66.1
k99_10001813_6	COG1083	5e-59	201.0
k99_10001813_7	ENOG410XNW1	1.2e-67	230.6
k99_10001813_8	ENOG410Y1ET	3.9e-21	77.6
k99_10001813_9	ENOG410Y3NU	7.3e-67	227.5
k99_10001814_1	ENOG410YWCW	2.9e-63	216.4
k99_10001814_2	COG0240	7.4e-83	280.9
k99_10001836_1	COG1158	1.4e-33	118.1
k99_10001836_2	ENOG410Y1MD	1.4e-20	75.8
k99_10001836_3	ENOG4111FUN	1.6e-73	247.8
k99_10001867_1	COG0029	2.7e-66	226.0
k99_10001867_2	ENOG410ZYM2	6.8e-06	27.6
k99_10001886_2	ENOG410Y376	1.1e-27	98.6
k99_10001886_3	COG3119	3.5e-92	311.6
k99_10001886_4	COG3119	1.5e-27	97.4
k99_10001917_1	ENOG410XZ2S	1.3e-06	30.0
k99_10001917_2	COG0811	9.7e-60	204.6
k99_10001917_3	COG0848	1.8e-38	134.7
k99_10001917_4	ENOG41125KQ	1.3e-30	108.5
k99_10001951_1	COG0469	9.9e-181	605.2
k99_10001957_1	ENOG410ZVDG	6.2e-129	431.3
k99_10001966_1	ENOG41123RE	1.2e-05	27.1
k99_10001966_2	ENOG41123RE	6.1e-08	34.5
k99_10001966_3	ENOG410ZVHX	2.2e-09	37.6
k99_1000197_1	COG2025	2e-118	399.2
k99_1000197_2	ENOG410ZWSI	3.6e-15	57.6
k99_1000203_1	ENOG4111FE0	1.4e-10	43.1
k99_1000203_2	COG4807	6e-38	132.4
k99_1000203_3	ENOG4111IQJ	2.4e-52	177.7
k99_1000203_4	COG1853	6.1e-30	106.1
k99_1000203_5	ENOG410XQQ4	4.7e-118	396.6
k99_1000203_6	COG0537	4.6e-25	88.9
