sample_id,Bacterial count,Chlorophyl a,Collection date,Collection time,DOC,DOM,DON,DOP,Environmental biome,Environmental feature,Environmental material,Geolocation_name,H2S,Latitude,Library type,Longitude,Mesozooplankton,Microzooplankotn,Molecule,NH4+,NO2-,NO3-,O2,Organism,Other ions and small molecules,PO42-,Rates,Salinity,Sample name,Sample title,Sampling basin,Sampling depth,Sampling station,SiO2-,Temperature,Turbidity,filter_lower,filter_upper,pH,sample_set,public
120314,1.32,0.92,12/03/14,12:00,335.8,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,3.28,,Metagenomics,,,,6.7,,120314,,0.5,LMO,,3.2,,0.22,3.0,,lmo,True
120322,1.51,1.63,12/03/22,12:00,346.03,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,2.89,,Metagenomics,,,,6.9,,120322,,0.5,LMO,,3.0,,0.22,3.0,,lmo,True
120328,1.56,1.68,12/03/28,12:00,334.31,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,2.44,,Metagenomics,,,,6.5,,120328,,0.5,LMO,,3.7,,0.22,3.0,,lmo,True
120403,2.33,3.02,12/04/03,12:00,338.98,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,2.5,,Metagenomics,,,,6.5,,120403,,0.5,LMO,,3.1,,0.22,3.0,,lmo,True
120416,2.36,2.76,12/04/16,12:00,338.39,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.58,,Metagenomics,,,,6.7,,120416,,0.5,LMO,,4.0,,0.22,3.0,,lmo,True
120419,1.9,1.02,12/04/19,12:00,331.46,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.21,,Metagenomics,,,,6.7,,120419,,0.5,LMO,,4.4,,0.22,3.0,,lmo,True
120423,2.59,4.13,12/04/23,12:00,336.85,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.18,,Metagenomics,,,,6.7,,120423,,0.5,LMO,,4.1,,0.22,3.0,,lmo,True
120507,1.98,2.79,12/05/07,12:00,341.61,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.12,,Metagenomics,,,,6.6,,120507,,0.5,LMO,,5.6,,0.22,3.0,,lmo,True
120516,1.93,1.5,12/05/16,12:00,345.0,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.22,,Metagenomics,,,,6.4,,120516,,0.5,LMO,,7.5,,0.22,3.0,,lmo,True
120521,3.6,0.94,12/05/21,12:00,352.63,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.15,,Metagenomics,,,,6.5,,120521,,0.5,LMO,,8.0,,0.22,3.0,,lmo,True
120531,2.96,2.45,12/05/31,12:00,343.22,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.16,,Metagenomics,,,,6.5,,120531,,0.5,LMO,,10.0,,0.22,3.0,,lmo,True
120604,3.03,2.51,12/06/04,12:00,337.48,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.49,,Metagenomics,,,,6.5,,120604,,0.5,LMO,,9.0,,0.22,3.0,,lmo,True
120613,2.51,1.1,12/06/13,12:00,326.99,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.46,,Metagenomics,,,,6.5,,120613,,0.5,LMO,,12.5,,0.22,3.0,,lmo,True
120619,4.0,1.93,12/06/19,12:00,332.59,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.67,,Metagenomics,,,,6.5,,120619,,0.5,LMO,,12.1,,0.22,3.0,,lmo,True
120628,2.63,2.55,12/06/28,12:00,330.97,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.66,,Metagenomics,,,,6.4,,120628,,0.5,LMO,,12.8,,0.22,3.0,,lmo,True
120705,2.53,2.61,12/07/05,12:00,349.3,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.26,,Metagenomics,,,,6.5,,120705,,0.5,LMO,,14.0,,0.22,3.0,,lmo,True
120709,2.15,3.03,12/07/09,12:00,355.43,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.26,,Metagenomics,,,,6.5,,120709,,0.5,LMO,,16.4,,0.22,3.0,,lmo,True
120717,3.11,2.56,12/07/17,12:00,357.9,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.19,,Metagenomics,,,,6.2,,120717,,0.5,LMO,,16.0,,0.22,3.0,,lmo,True
120802,,2.55,12/08/02,12:00,1710.67,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.2,,Metagenomics,,,,6.2,,120802,,0.5,LMO,,17.0,,0.22,3.0,,lmo,True
120806,5.54,2.59,12/08/06,12:00,456.3,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.22,,Metagenomics,,,,6.2,,120806,,0.5,LMO,,17.3,,0.22,3.0,,lmo,True
120813,4.12,4.21,12/08/13,12:00,382.44,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.32,,Metagenomics,,,,6.2,,120813,,0.5,LMO,,18.2,,0.22,3.0,,lmo,True
120820,7.1,2.91,12/08/20,12:00,370.93,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.29,,Metagenomics,,,,6.2,,120820,,0.5,LMO,,18.4,,0.22,3.0,,lmo,True
120823,,3.54,12/08/23,12:00,471.82,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.24,,Metagenomics,,,,6.2,,120823,,0.5,LMO,,17.3,,0.22,3.0,,lmo,True
120828,3.71,2.51,12/08/28,12:00,367.61,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.25,,Metagenomics,,,,6.1,,120828,,0.5,LMO,,16.7,,0.22,3.0,,lmo,True
120903,6.56,2.61,12/09/03,12:00,370.24,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.26,,Metagenomics,,,,6.2,,120903,,0.5,LMO,,16.2,,0.22,3.0,,lmo,True
120910,4.58,2.5,12/09/10,12:00,389.94,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.36,,Metagenomics,,,,6.1,,120910,,0.5,LMO,,15.5,,0.22,3.0,,lmo,True
120920,2.12,0.99,12/09/20,12:00,335.46,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.32,,Metagenomics,,,,6.4,,120920,,0.5,LMO,,8.3,,0.22,3.0,,lmo,True
120924,2.52,1.9,12/09/24,12:00,346.11,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.23,,Metagenomics,,,,6.2,,120924,,0.5,LMO,,11.2,,0.22,3.0,,lmo,True
121001,4.31,1.36,12/10/01,12:00,341.71,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.39,,Metagenomics,,,,6.4,,121001,,0.5,LMO,,9.6,,0.22,3.0,,lmo,True
121004,2.53,1.49,12/10/04,12:00,353.07,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.13,,Metagenomics,,,,6.3,,121004,,0.5,LMO,,10.0,,0.22,3.0,,lmo,True
121015,5.32,2.01,12/10/15,12:00,347.46,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.2,,Metagenomics,,,,6.2,,121015,,0.5,LMO,,9.7,,0.22,3.0,,lmo,True
121022,3.73,2.16,12/10/22,12:00,348.99,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.25,,Metagenomics,,,,6.2,,121022,,0.5,LMO,,9.8,,0.22,3.0,,lmo,True
121028,4.22,2.68,12/10/28,12:00,352.56,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.24,,Metagenomics,,,,6.2,,121028,,0.5,LMO,,7.4,,0.22,3.0,,lmo,True
121105,3.37,1.29,12/11/05,12:00,337.73,,,,brackish Water,pelagic,water,Baltic Sea,,56.9384363,total shotgun,17.06204,,,DNA,,,0.9,,Metagenomics,,,,6.2,,121105,,0.5,LMO,,6.6,,0.22,3.0,,lmo,True
