sample_id,sample_set
120314,lmo
120322,lmo
120328,lmo
120403,lmo
120416,lmo
120419,lmo
120423,lmo
120507,lmo
120516,lmo
120521,lmo
120531,lmo
120604,lmo
120613,lmo
120619,lmo
120628,lmo
120705,lmo
120709,lmo
120717,lmo
120802,lmo
120806,lmo
120813,lmo
120820,lmo
120823,lmo
120828,lmo
120903,lmo
120910,lmo
120920,lmo
120924,lmo
121001,lmo
121004,lmo
121015,lmo
121022,lmo
121028,lmo
121105,lmo
121123,lmo
121128,lmo
121220,lmo
P1994_101,transect
P1994_102,transect
P1994_103,transect
P1994_104,transect
P1994_105,transect
P1994_106,transect
P1994_107,transect
P1994_108,transect
P1994_109,transect
P1994_110,transect
P1994_111,transect
P1994_112,transect
P1994_113,transect
P1994_114,transect
P1994_115,transect
P1994_116,transect
P1994_117,transect
P1994_118,transect
P1994_119,transect
P1994_120,transect
P1994_121,transect
P1994_122,transect
P1994_123,transect
P1994_124,transect
P1994_125,transect
P1994_126,transect
P1994_127,transect
P1994_128,transect
P1994_129,transect
P1994_130,transect
P2236_101,redox
P2236_102,redox
P2236_103,redox
P2236_104,redox
P2236_105,redox
P2236_106,redox
P2236_107,redox
P2236_108,redox
P2236_109,redox
P2236_110,redox
P2236_111,redox
P2236_112,redox
P2236_113,redox
P2236_114,redox
