gene_id	avg_coverage	gene_length
PROKKA_MOD_PART0_00001	0	357
PROKKA_MOD_PART0_00002	0	645
PROKKA_MOD_PART0_00003	0	2421
PROKKA_MOD_PART0_00004	0	198
PROKKA_MOD_PART0_00005	0	348
PROKKA_MOD_PART0_00006	0	237
PROKKA_MOD_PART0_00007	0	189
PROKKA_MOD_PART0_00008	0	255
PROKKA_MOD_PART0_00009	0	357
PROKKA_MOD_PART0_00010	0	852
PROKKA_MOD_PART0_00011	0	930
PROKKA_MOD_PART0_00012	0	738
PROKKA_MOD_PART0_00013	0	147
PROKKA_MOD_PART0_00014	0	636
PROKKA_MOD_PART0_00015	0	216
PROKKA_MOD_PART0_00016	0	516
PROKKA_MOD_PART0_00017	0	234
PROKKA_MOD_PART0_00018	0	435
PROKKA_MOD_PART0_00019	0	216
PROKKA_MOD_PART0_00020	0.113402	1455
PROKKA_MOD_PART0_00021	0	1035
PROKKA_MOD_PART0_00022	0	609
PROKKA_MOD_PART0_00023	0	846
PROKKA_MOD_PART0_00024	0	204
PROKKA_MOD_PART0_00025	0	489
PROKKA_MOD_PART0_00026	0	213
PROKKA_MOD_PART0_00027	0	561
PROKKA_MOD_PART0_00028	0	219
PROKKA_MOD_PART0_00029	0	552
PROKKA_MOD_PART0_00030	0	261
PROKKA_MOD_PART0_00031	0	1416
PROKKA_MOD_PART0_00032	0	1266
PROKKA_MOD_PART0_00033	0	804
PROKKA_MOD_PART0_00034	0	543
PROKKA_MOD_PART0_00035	0	756
PROKKA_MOD_PART0_00036	0	696
PROKKA_MOD_PART0_00037	0	210
PROKKA_MOD_PART0_00038	0	417
PROKKA_MOD_PART0_00039	0	255
PROKKA_MOD_PART0_00040	0	486
PROKKA_MOD_PART0_00041	0	504
PROKKA_MOD_PART0_00042	0	1812
PROKKA_MOD_PART0_00043	0	825
PROKKA_MOD_PART0_00044	0	402
PROKKA_MOD_PART0_00045	0	129
PROKKA_MOD_PART0_00046	0	270
PROKKA_MOD_PART0_00047	0	204
PROKKA_MOD_PART0_00048	0	114
PROKKA_MOD_PART0_00049	0	375
PROKKA_MOD_PART0_00050	0	261
PROKKA_MOD_PART0_00051	0	765
PROKKA_MOD_PART0_00052	0.613446	357
PROKKA_MOD_PART0_00053	0.166667	114
PROKKA_MOD_PART0_00054	0	828
PROKKA_MOD_PART0_00055	0	501
PROKKA_MOD_PART0_00056	0	540
PROKKA_MOD_PART0_00057	0	474
PROKKA_MOD_PART0_00058	0	1239
PROKKA_MOD_PART0_00059	0	954
PROKKA_MOD_PART0_00060	0	861
PROKKA_MOD_PART0_00061	0	1077
PROKKA_MOD_PART0_00062	0	2547
PROKKA_MOD_PART0_00063	0	1380
PROKKA_MOD_PART0_00064	0	1050
PROKKA_MOD_PART0_00065	0	1629
PROKKA_MOD_PART0_00066	0	1329
PROKKA_MOD_PART0_00067	0	1302
PROKKA_MOD_PART0_00068	0	2925
PROKKA_MOD_PART0_00069	0	450
PROKKA_MOD_PART0_00070	0	81
PROKKA_MOD_PART0_00071	0	1497
PROKKA_MOD_PART0_00072	0	867
PROKKA_MOD_PART0_00073	0	870
PROKKA_MOD_PART0_00074	0	456
PROKKA_MOD_PART0_00075	0	1671
PROKKA_MOD_PART0_00076	0	1068
PROKKA_MOD_PART0_00077	0	1026
PROKKA_MOD_PART0_00078	0	1260
PROKKA_MOD_PART0_00079	0.669978	906
PROKKA_MOD_PART0_00080	0	321
PROKKA_MOD_PART0_00081	0	462
PROKKA_MOD_PART0_00082	0	738
PROKKA_MOD_PART0_00083	0	957
PROKKA_MOD_PART0_00084	0	504
PROKKA_MOD_PART0_00085	0	270
PROKKA_MOD_PART0_00086	0	474
PROKKA_MOD_PART0_00087	0	570
PROKKA_MOD_PART0_00088	0	66
PROKKA_MOD_PART0_00089	0	366
PROKKA_MOD_PART0_00090	0	498
PROKKA_MOD_PART0_00091	0	789
PROKKA_MOD_PART0_00092	0	633
PROKKA_MOD_PART0_00093	0	903
PROKKA_MOD_PART0_00094	0	456
PROKKA_MOD_PART0_00095	0	501
PROKKA_MOD_PART0_00096	0.307598	816
PROKKA_MOD_PART0_00097	0	429
PROKKA_MOD_PART0_00098	0	228
PROKKA_MOD_PART0_00099	0	729
PROKKA_MOD_PART0_00100	0	426
PROKKA_MOD_PART0_00101	0	156
PROKKA_MOD_PART0_00102	0	543
PROKKA_MOD_PART0_00103	0	504
PROKKA_MOD_PART0_00104	0	645
PROKKA_MOD_PART0_00105	0	342
PROKKA_MOD_PART0_00106	0	264
PROKKA_MOD_PART0_00107	0.0883492	2841
PROKKA_MOD_PART0_00108	0	705
PROKKA_MOD_PART0_00109	0	1311
PROKKA_MOD_PART0_00110	0	885
PROKKA_MOD_PART0_00111	0	300
PROKKA_MOD_PART0_00112	0	360
PROKKA_MOD_PART0_00113	0	648
PROKKA_MOD_PART0_00114	0	456
PROKKA_MOD_PART0_00115	0	309
PROKKA_MOD_PART0_00116	0	921
PROKKA_MOD_PART0_00117	0	216
PROKKA_MOD_PART0_00118	0	693
PROKKA_MOD_PART0_00119	0	330
PROKKA_MOD_PART0_00120	0	207
PROKKA_MOD_PART0_00121	0	1068
PROKKA_MOD_PART0_00122	0.100376	2391
PROKKA_MOD_PART0_00123	0	306
PROKKA_MOD_PART0_00124	0	348
PROKKA_MOD_PART0_00125	0	99
PROKKA_MOD_PART0_00126	0	957
PROKKA_MOD_PART0_00127	0	294
PROKKA_MOD_PART0_00128	0	357
PROKKA_MOD_PART0_00129	0	669
PROKKA_MOD_PART0_00130	0	144
PROKKA_MOD_PART0_00131	0	621
PROKKA_MOD_PART0_00132	0	360
PROKKA_MOD_PART0_00133	0	237
PROKKA_MOD_PART0_00134	0	960
PROKKA_MOD_PART0_00135	0	315
PROKKA_MOD_PART0_00136	0	459
PROKKA_MOD_PART0_00137	0	87
PROKKA_MOD_PART0_00138	0	378
PROKKA_MOD_PART0_00139	0	156
PROKKA_MOD_PART0_00140	0	786
PROKKA_MOD_PART0_00141	0	402
PROKKA_MOD_PART0_00142	0	516
PROKKA_MOD_PART0_00143	0	207
PROKKA_MOD_PART0_00144	0	597
