PROKKA_MOD_PART0_00016	TIGR01420
PROKKA_MOD_PART0_00021	TIGR02618
PROKKA_MOD_PART0_00027	TIGR00113
PROKKA_MOD_PART0_00049	TIGR04131
PROKKA_MOD_PART0_00060	TIGR04182
PROKKA_MOD_PART0_00061	TIGR04182
PROKKA_MOD_PART0_00066	TIGR03026
PROKKA_MOD_PART0_00068	TIGR00630
PROKKA_MOD_PART0_00069	TIGR01221
PROKKA_MOD_PART0_00076	TIGR01969
PROKKA_MOD_PART0_00077	TIGR00706
PROKKA_MOD_PART0_00080	TIGR03367
PROKKA_MOD_PART0_00091	TIGR03696
PROKKA_MOD_PART0_00096	TIGR00465
PROKKA_MOD_PART0_00107	TIGR00630
PROKKA_MOD_PART0_00108	TIGR02154
PROKKA_MOD_PART0_00109	TIGR02966
PROKKA_MOD_PART0_00110	TIGR01138
PROKKA_MOD_PART0_00122	TIGR01069
PROKKA_MOD_PART0_00126	TIGR03150
PROKKA_MOD_PART0_00140	TIGR00400
PROKKA_MOD_PART0_00153	TIGR01830
PROKKA_MOD_PART0_00154	TIGR03175
PROKKA_MOD_PART0_00160	TIGR04007
PROKKA_MOD_PART0_00165	TIGR02197
PROKKA_MOD_PART0_00168	TIGR01407
PROKKA_MOD_PART0_00172	TIGR02977
PROKKA_MOD_PART0_00179	TIGR02420
PROKKA_MOD_PART0_00188	TIGR00737
PROKKA_MOD_PART0_00191	TIGR03710
PROKKA_MOD_PART0_00208	TIGR02981
PROKKA_MOD_PART0_00210	TIGR01296
PROKKA_MOD_PART0_00214	TIGR00575
PROKKA_MOD_PART0_00237	TIGR04183
PROKKA_MOD_PART0_00238	TIGR02804
PROKKA_MOD_PART0_00240	TIGR00713
PROKKA_MOD_PART0_00242	TIGR03632
PROKKA_MOD_PART0_00244	TIGR00546
PROKKA_MOD_PART0_00245	TIGR04367
PROKKA_MOD_PART0_00246	TIGR02026
PROKKA_MOD_PART0_00249	TIGR03540
PROKKA_MOD_PART0_00255	TIGR02789
PROKKA_MOD_PART0_00261	TIGR00202
PROKKA_MOD_PART0_00271	TIGR01463
PROKKA_MOD_PART0_00275	TIGR00306
PROKKA_MOD_PART0_00285	TIGR01003
PROKKA_MOD_PART0_00286	TIGR01417
PROKKA_MOD_PART0_00294	TIGR02639
PROKKA_MOD_PART0_00311	TIGR00281
PROKKA_MOD_PART0_00317	TIGR01034
PROKKA_MOD_PART0_00319	TIGR04256
PROKKA_MOD_PART0_00323	TIGR02534
PROKKA_MOD_PART0_00343	TIGR00674
PROKKA_MOD_PART0_00344	TIGR03716
PROKKA_MOD_PART0_00350	TIGR03819
PROKKA_MOD_PART0_00351	TIGR02211
PROKKA_MOD_PART0_00358	TIGR00674
PROKKA_MOD_PART0_00364	TIGR00909
PROKKA_MOD_PART0_00366	TIGR00966
PROKKA_MOD_PART0_00368	TIGR03628
PROKKA_MOD_PART0_00389	TIGR00035
PROKKA_MOD_PART0_00391	TIGR02199
PROKKA_MOD_PART0_00393	TIGR01444
PROKKA_MOD_PART0_00394	TIGR01444
PROKKA_MOD_PART0_00396	TIGR00392
PROKKA_MOD_PART0_00397	TIGR02348
PROKKA_MOD_PART0_00408	TIGR02984
PROKKA_MOD_PART0_00435	TIGR02120
PROKKA_MOD_PART0_00441	TIGR01174
PROKKA_MOD_PART0_00445	TIGR01830
PROKKA_MOD_PART0_00449	TIGR03508
PROKKA_MOD_PART0_00461	TIGR01706
PROKKA_MOD_PART0_00466	TIGR02154
PROKKA_MOD_PART0_00467	TIGR02966
PROKKA_MOD_PART0_00468	TIGR00704
PROKKA_MOD_PART0_00469	TIGR01575
PROKKA_MOD_PART0_00470	TIGR00914
PROKKA_MOD_PART0_00471	TIGR00999
PROKKA_MOD_PART0_00479	TIGR00738
PROKKA_MOD_PART0_00484	TIGR03529
PROKKA_MOD_PART0_00489	TIGR02253
PROKKA_MOD_PART0_00504	TIGR02380
PROKKA_MOD_PART0_00508	TIGR01309
PROKKA_MOD_PART0_00514	TIGR02800
PROKKA_MOD_PART0_00542	TIGR00150
PROKKA_MOD_PART0_00550	TIGR03696
PROKKA_MOD_PART0_00553	TIGR02211
PROKKA_MOD_PART0_00556	TIGR00836
PROKKA_MOD_PART0_00562	TIGR02937
PROKKA_MOD_PART0_00569	TIGR01135
PROKKA_MOD_PART0_00571	TIGR02095
PROKKA_MOD_PART0_00579	TIGR00933
PROKKA_MOD_PART0_00580	TIGR00933
PROKKA_MOD_PART0_00583	TIGR02026
PROKKA_MOD_PART0_00586	TIGR00988
PROKKA_MOD_PART0_00589	TIGR02818
