Id	Categories	Description
COG0001	H	Glutamate-1-semialdehyde aminotransferase
COG0002	E	N-acetylglutamate semialdehyde dehydrogenase
COG0003	P	ATPase required for the post-translational delivery of tail-anchored (TA) proteins to the endoplasmic reticulum. Recognizes and selectively binds the transmembrane domain of TA proteins in the cytosol. This complex then targets to the endoplasmic reticulum by membrane-bound receptors, where the tail- anchored protein is released for insertion. This process is regulated by ATP binding and hydrolysis. ATP binding drives the homodimer towards the closed dimer state, facilitating recognition of newly synthesized TA membrane proteins. ATP hydrolysis is required for insertion. Subsequently, the homodimer reverts towards the open dimer state, lowering its affinity for the membrane-bound receptor, and returning it to the cytosol to initiate a new round of targeting (By similarity)
COG0004	P	ammonium Transporter
COG0005	F	The purine nucleoside phosphorylases catalyze the phosphorolytic breakdown of the N-glycosidic bond in the beta- (deoxy)ribonucleoside molecules, with the formation of the corresponding free purine bases and pentose-1-phosphate (By similarity)
COG0006	E	peptidase M24
COG0007	H	Multifunctional enzyme that catalyzes the SAM-dependent methylation of uroporphyrinogen III at position C-2 and C-7 to form precorrin-2 and then position C-12 or C-18 to form trimethylpyrrocorphin 2. It also catalyzes the conversion of precorrin-2 into siroheme. This reaction consists of the NAD- dependent oxidation of precorrin-2 into sirohydrochlorin and its subsequent ferrochelation into siroheme (By similarity)
COG0008	J	Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)
COG0009	J	sua5 ycio yrdc ywlc family protein
COG0010	E	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines
COG0011	S	Domain of unknown function DUF77
COG0012	J	gtp-binding protein
COG0013	J	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain (By similarity)
COG0014	E	Catalyzes the NADPH dependent reduction of L-gamma- glutamyl 5-phosphate into L-glutamate 5-semialdehyde and phosphate. The product spontaneously undergoes cyclization to form 1-pyrroline-5-carboxylate (By similarity)
COG0015	F	adenylosuccinate lyase
COG0016	J	phenylalanyL-tRNA synthetase, alpha subunit
COG0017	J	asparaginyl-tRNA synthetase
COG0018	J	arginyL-tRNA synthetase
COG0019	E	Specifically catalyzes the decarboxylation of meso- diaminopimelate (meso-DAP) to L-lysine (By similarity)
COG0020	I	Catalyzes the condensation of isopentenyl diphosphate (IPP) with allylic pyrophosphates generating different type of terpenoids (By similarity)
COG0021	G	Transketolase
COG0022	C	Dehydrogenase, E1 component
COG0023	J	translation initiation factor
COG0024	J	Removes the N-terminal methionine from nascent proteins (By similarity)
COG0025	P	Sodium hydrogen exchanger
COG0026	F	phosphoribosylaminoimidazole carboxylase atpase subunit
COG0027	F	Catalyzes two reactions the first one is the production of beta-formyl glycinamide ribonucleotide (GAR) from formate, ATP and beta GAR
COG0028	E	acetolactate synthase
COG0029	H	L-aspartate oxidase
COG0030	J	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits (By similarity)
COG0031	E	cysteine biosynthetic process from serine
COG0033	G	phosphoglucomutase
COG0034	F	glutamine phosphoribosylpyrophosphate amidotransferase
COG0035	F	Catalyzes the conversion of uracil and 5-phospho-alpha- D-ribose 1-diphosphate (PRPP) to UMP and diphosphate (By similarity)
COG0036	G	ribulose-phosphate 3-epimerase activity
COG0037	D	Ligates lysine onto the cytidine present at position 34 of the AUA codon-specific tRNA(Ile) that contains the anticodon CAU, in an ATP-dependent manner. Cytidine is converted to lysidine, thus changing the amino acid specificity of the tRNA from methionine to isoleucine (By similarity)
COG0038	P	chloride channel
COG0039	C	Catalyzes the reversible oxidation of malate to oxaloacetate (By similarity)
COG0040	E	Catalyzes the condensation of ATP and 5-phosphoribose 1- diphosphate to form N'-(5'-phosphoribosyl)-ATP (PR-ATP). Has a crucial role in the pathway because the rate of histidine biosynthesis seems to be controlled primarily by regulation of HisG enzymatic activity (By similarity)
COG0041	F	Catalyzes the conversion of N5-carboxyaminoimidazole ribonucleotide (N5-CAIR) to 4-carboxy-5-aminoimidazole ribonucleotide (CAIR) (By similarity)
COG0042	J	Catalyzes the synthesis of dihydrouridine a modified base found in the D-loop of most tRNAs (By similarity)
COG0043	H	Catalyzes the decarboxylation of 3-octaprenyl-4-hydroxy benzoate to 2-octaprenylphenol (By similarity)
COG0044	F	Dihydroorotase
COG0045	C	Succinyl-CoA synthetase subunit beta
COG0046	F	phosphoribosylformylglycinamidine synthase
COG0047	F	phosphoribosylformylglycinamidine synthase
COG0048	J	Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit (By similarity)
COG0049	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA (By similarity)
COG0050	J	This protein promotes the GTP-dependent binding of aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis (By similarity)
COG0051	J	tRNA binding
COG0052	J	30S ribosomal protein S2
COG0053	P	cation diffusion facilitator family transporter
