PROKKA_MOD_PART0_00011	COG1216
PROKKA_MOD_PART0_00018	COG0314
PROKKA_MOD_PART0_00021	COG3033
PROKKA_MOD_PART0_00027	COG0809
PROKKA_MOD_PART0_00043	COG0612
PROKKA_MOD_PART0_00054	COG1373
PROKKA_MOD_PART0_00058	COG0438
PROKKA_MOD_PART0_00060	COG0463
PROKKA_MOD_PART0_00061	COG0463
PROKKA_MOD_PART0_00064	COG0438
PROKKA_MOD_PART0_00065	COG2227
PROKKA_MOD_PART0_00066	COG1004
PROKKA_MOD_PART0_00068	COG0178
PROKKA_MOD_PART0_00069	COG1898
PROKKA_MOD_PART0_00076	COG0489
PROKKA_MOD_PART0_00077	COG0616
PROKKA_MOD_PART0_00079	COG2887
PROKKA_MOD_PART0_00080	COG0720
PROKKA_MOD_PART0_00082	COG0213
PROKKA_MOD_PART0_00083	COG1073
PROKKA_MOD_PART0_00084	COG0846
PROKKA_MOD_PART0_00086	COG0791
PROKKA_MOD_PART0_00096	COG0059
PROKKA_MOD_PART0_00107	COG0178
PROKKA_MOD_PART0_00108	COG0745
PROKKA_MOD_PART0_00109	COG0642
PROKKA_MOD_PART0_00110	COG0031
PROKKA_MOD_PART0_00113	COG1944
PROKKA_MOD_PART0_00122	COG1193
PROKKA_MOD_PART0_00123	COG1669
PROKKA_MOD_PART0_00124	COG2361
PROKKA_MOD_PART0_00142	COG1664
PROKKA_MOD_PART0_00153	COG4221
PROKKA_MOD_PART0_00154	COG2055
PROKKA_MOD_PART0_00160	COG0438
PROKKA_MOD_PART0_00165	COG0451
PROKKA_MOD_PART0_00172	COG1842
PROKKA_MOD_PART0_00179	COG1734
PROKKA_MOD_PART0_00186	COG2204
PROKKA_MOD_PART0_00188	COG0042
PROKKA_MOD_PART0_00193	COG3119
PROKKA_MOD_PART0_00194	COG0388
PROKKA_MOD_PART0_00202	COG3187
PROKKA_MOD_PART0_00208	COG0607
PROKKA_MOD_PART0_00210	COG0136
PROKKA_MOD_PART0_00214	COG0272
PROKKA_MOD_PART0_00219	COG2968
PROKKA_MOD_PART0_00227	COG0726
PROKKA_MOD_PART0_00229	COG0142
PROKKA_MOD_PART0_00238	COG0848
PROKKA_MOD_PART0_00240	COG0001
PROKKA_MOD_PART0_00242	COG0100
PROKKA_MOD_PART0_00244	COG0815
PROKKA_MOD_PART0_00245	COG1032
PROKKA_MOD_PART0_00246	COG1032
PROKKA_MOD_PART0_00249	COG0436
PROKKA_MOD_PART0_00255	COG0601
PROKKA_MOD_PART0_00260	COG0515
PROKKA_MOD_PART0_00261	COG1551
PROKKA_MOD_PART0_00262	COG1752
PROKKA_MOD_PART0_00269	COG3666
PROKKA_MOD_PART0_00271	COG0407
PROKKA_MOD_PART0_00275	COG3635
PROKKA_MOD_PART0_00285	COG1925
PROKKA_MOD_PART0_00286	COG1080
PROKKA_MOD_PART0_00287	COG1208
PROKKA_MOD_PART0_00293	COG0646
PROKKA_MOD_PART0_00294	COG0542
PROKKA_MOD_PART0_00298	COG3628
PROKKA_MOD_PART0_00307	COG2152
PROKKA_MOD_PART0_00308	COG2152
PROKKA_MOD_PART0_00311	COG1386
PROKKA_MOD_PART0_00314	COG1061
PROKKA_MOD_PART0_00317	COG0192
PROKKA_MOD_PART0_00322	COG3533
PROKKA_MOD_PART0_00323	COG4948
PROKKA_MOD_PART0_00324	COG0618
PROKKA_MOD_PART0_00327	COG5616
PROKKA_MOD_PART0_00331	COG0515
PROKKA_MOD_PART0_00332	COG1520
PROKKA_MOD_PART0_00333	COG0515
PROKKA_MOD_PART0_00336	COG2197
PROKKA_MOD_PART0_00341	COG3829
PROKKA_MOD_PART0_00342	COG1188
PROKKA_MOD_PART0_00343	COG0329
PROKKA_MOD_PART0_00344	COG0861
